UID,Category,KW,Web,Emp_count,Sales,Note,KW_search,FB_likes,FB,Position_CH,Impressions,Visits,Value_visitor,Value,Links,Site_count,Capital,Headquarter,City,Registered
CHE-102.368.492,UCC,Sima,http://www.simakaffee.ch,5,,,12,,N,287080,300,300,,690,13,720,,Switzerland,Trimmis,1969
CHE-107.293.335,Herstellung von Getranken,Sirocco,http://www.sirocco.ch,20,10000000,2016 Juli,37,4660,Y,9005,14818,2299,0.35,2472,76,60300,1000000,Switzerland,Schmerikon,1941
,Valora,Spettacolo,http://spettacolo.ch/de/index.php,,,,33,11376,Y,80588,300,300,,569,8,300,,Switzerland,Muttenz,1992
CHE-103.278.590,Herstellung von Getranken,Spielhof,http://www.spielhofkaffee.ch,,,,4,,N,288000,300,300,1.5,765,11,420,,Switzerland,Glarus,1973
CHE-100.839.196,Bar/Pub,starbucks ch,http://www.starbucks.ch,1000,200000,2016 Juli,75,69,Y,9555,52920,32326,0.11,24890,290,41100,2000000,Switzerland,Volketswil,2000
CHE-115.056.576,Herstellung von Getranken,Stoll,http://stoll-kaffee.ch,19,10000000,2016 Juli,56,1079,Y,21619,548,548,1.3,1252,44,5640,100000,Switzerland,Zurich,1936
CHE-293.158.291,JDE,Tassimo,https://www.tassimo.ch,,,,50,1168000,Y,3715,5852,5852,0.46,5015,25,11985,,Switzerland,Zug,2015
,,Terre des Hommes,,,,,3,,,,,,,,,,,Switzerland,,
CHE-107.024.232,Herstellung von Getranken,Trottet,https://www.trottet.ch,49,20000000,2016 August,2,4121,Y,176922,33075,2216,0.45,2326,34,27900,200000,Switzerland,Geneve,1951
,,Turm,https://turmkaffee.ch,,,,15,,,27551,11246,1105,1.2,1686,63,12240,,Switzerland,St. Gallen,1761
CHE-102.368.492,Herstellung von Getranken,UCC,http://www.ucc-coffee.ch/de,9,20000000,2016 September,17,655,Y,66376,528,528,,1260,11,300,100000,Switzerland,Zollikofen,1933
,,Valmandin,http://www.valmandin.ch,,,,0,75,Y,,,,,,,,,Switzerland,Geneve,
,,Vescovi,http://www.wedlkaffee.com/marken/vescovi/,,,,0,,,,,,,,,,,Italy,Padua,1904
,,Vitali,http://www.caffeista.com,,,,24,,,423670,300,300,,608,15,1260,,Switzerland,Zurich,
CHE-105.854.263,Sonstiger ahrungsmittel-/Lebensmittelhandel,Volg,www.volg.ch,1000,500000000,2016 ovember,44,,N,9497,36515,18586,0.13,14717,393,117300,20000000,Switzerland,Winterthur,1972
